🇹🇼台灣,#genre#
華視,P2p://ns2.hellotvvod.com:9906/7193c88128364de79b3105ad216d0346.ts
華視新聞,P2p://ns2.hellotvvod.com:9906/f61ea6512058435fb78786042b1bcf4b.ts
愛爾達綜合台,P2p://ns2.hellotvvod.com:9906/fde9f07931c64b8caeeda596835d9cd7.ts
愛爾達影劇台,P2p://ns2.hellotvvod.com:9906/2b6029ef5df04344b29a421937f3600f.ts
愛爾達體育1台,P2p://ns2.hellotvvod.com:9906/028186b80ee742baa3b0c3ba1ca6f013.ts
愛爾達體育1台,P2p://ns2.hellotvvod.com:9906/bb8a4b4ef8f4490586e4a195286d6865.ts
愛爾達體育2台,P2p://ns2.hellotvvod.com:9906/ac22ae1744c84baa8bb1e8bb9ae636da.ts
愛爾達體育2台,P2p://ns2.hellotvvod.com:9906/e7517c796ed04f4295d6b977ea0250cd.ts
愛爾達體育3台,P2p://ns2.hellotvvod.com:9906/70405affe0e641888de5f0c71b8558ca.ts
愛爾達體育3台,P2p://ns2.hellotvvod.com:9906/e6b2b5c4fc5445b4bc1b0171ed18aaaa.ts
新視覺,P2p://ns2.hellotvvod.com:9906/cb95d4113fe04d608831cfbfce7f5710.ts
達文西頻道,P2p://ns2.hellotvvod.com:9906/54e25d140c584352a4bb4a0494e8532b.ts
靖天日本台,P2p://ns2.hellotvvod.com:9906/076018c0cf824ebca4f045d3071dd49a.ts
靖天卡通台,P2p://ns2.hellotvvod.com:9906/7a9c9e5fca664321ba1250059113561e.ts
靖天育樂台,P2p://ns2.hellotvvod.com:9906/2a4daa90c3db441abfed716e76f8d32f.ts
靖天映畫台,P2p://ns2.hellotvvod.com:9906/7db4ae89bfcf48489bd771f267956d2d.ts
靖天國際台,P2p://ns2.hellotvvod.com:9906/c46a12c1181d4a9bb62b95c066be87db.ts
靖天資訊台,P2p://ns2.hellotvvod.com:9906/1dfbce25ede84e44bb738acdd0f3793a.ts
靖天電影台,P2p://ns2.hellotvvod.com:9906/e49a703ff9d9475ead50fd0dc0ec5822.ts
靖天綜合台,P2p://ns2.hellotvvod.com:9906/d4cba5b06abf48e8aba1bb98ab0f1f7c.ts
靖天戲劇台,P2p://ns2.hellotvvod.com:9906/c8c22f8e41c440de979ab1866ab8aadd.ts
靖天歡樂台,P2p://ns2.hellotvvod.com:9906/b3204286a562469bb82a157b9e19a295.ts
靖洋卡通台,P2p://ns2.hellotvvod.com:9906/24f726a97f2c43309b177887747b19a4.ts
靖洋戲劇台,P2p://ns2.hellotvvod.com:9906/f6c4e8c9b99b49edb052a710b7b05ddb.ts
廣東體育,P2p://ns2.hellotvvod.com:9906/c3ca08b87d004ec6857f284306b47c20.ts
影迷數位電影台,P2p://ns2.hellotvvod.com:9906/f0c6fb0ff86a40b0bc9e752e11ea9977.ts
緯來日本台,P2p://ns2.hellotvvod.com:9906/45e1f7d77e154dfc9d3b85fbf67070c7.ts
緯來育樂台,P2p://ns2.hellotvvod.com:9906/0fd41b1db97244be9f875bac0ba93b49.ts
緯來電影台,P2p://ns2.hellotvvod.com:9906/0f6c8c9d848f42509265449148c9b5ed.ts
緯來精采台,P2p://ns2.hellotvvod.com:9906/923d18f7e9b2473989bb3ed5b77b0b7e.ts
緯來綜合台,P2p://ns2.hellotvvod.com:9906/d79e6259d1b5489d95b56a7398e52173.ts
緯來戲劇台,P2p://ns2.hellotvvod.com:9906/65df73222bb4432483fd1ac2820d5b57.ts
緯來體育台,P2p://ns2.hellotvvod.com:9906/406c56cf940e411d86965c770c4a0d99.ts
衛視中文台,P2p://ns2.hellotvvod.com:9906/b132b9bc6b894901a8f02ca78a458dbb.ts
衛視電影台,P2p://ns2.hellotvvod.com:9906/0c8695bb13dd46ccab6204aeb8d99660.ts
魅力足球,P2p://ns2.hellotvvod.com:9906/e54035c0957b4bf8b79e2892696de2ca.ts
寰宇新聞,P2p://ns2.hellotvvod.com:9906/70d6351ba1004623afb5177c203f44fc.ts
寰宇新聞台灣台,P2p://ns2.hellotvvod.com:9906/451a05bbd7a44ec6b64a892e9d3679a4.ts
歷史頻道,P2p://ns2.hellotvvod.com:9906/25e76613921c437daca205113b1702bf.ts
龍祥電影,P2p://ns2.hellotvvod.com:9906/b55f3db64b8548d7967475fc4133128a.ts
龍華偶像,P2p://ns2.hellotvvod.com:9906/abc4f95d1ba14b8882d426f893b04afa.ts
龍華電影,P2p://ns2.hellotvvod.com:9906/4e4a6dfb40434065ae80a2208067b240.ts
龍華戲劇,P2p://ns2.hellotvvod.com:9906/11953967a0694814a978634d622302fd.ts
韓國娛樂台KMTV,P2p://ns2.hellotvvod.com:9906/b2d9ec709c0841da96848678de696115.ts
韓劇台,P2p://ns2.hellotvvod.com:9906/98bee78517694547b2e5dde6eafcd6b1.ts
爆谷台,P2p://ns2.hellotvvod.com:9906/949dadb069e54de5884c8bbf6b99a0c6.ts
霹靂台灣台,P2p://ns2.hellotvvod.com:9906/42dfe073dae34b14a078cde546fba306.ts
Animax,P2p://ns2.hellotvvod.com:9906/cef0f0c485bd4cf7a7f101a971dff095.ts
Arirang,P2p://ns2.hellotvvod.com:9906/dc09260380da4121a029ac172c3450c4.ts
AXN,P2p://ns2.hellotvvod.com:9906/1a17dbeb9d13489e976378d854d8fc46.ts
AXN亞洲,P2p://ns2.hellotvvod.com:9906/b7285b85f2e040bfab9ef86c89e1e357.ts
BabyTV,P2p://ns2.hellotvvod.com:9906/3789e26669cf4c66938c6b64c6cde18f.ts
BBCLifestyle,P2p://ns2.hellotvvod.com:9906/8433f4f630b44424a54d2c96339d4288.ts
beINSports,P2p://ns2.hellotvvod.com:9906/38daba85641241c98b9029fe4f1c0df1.ts
beINSports2,P2p://ns2.hellotvvod.com:9906/4bad4a2b07a04c23be4c0c2184696272.ts
beINSports3,P2p://ns2.hellotvvod.com:9906/66d53b4e1827499483f14c21eda95773.ts
CartoonNetwork,P2p://ns2.hellotvvod.com:9906/9cff4f0e22654d7b81fde5f7ffab0a90.ts
CatchPlay電影,P2p://ns2.hellotvvod.com:9906/dc2750b71e9743dd8b482a095cfc9149.ts
CI 罪案偵查頻道,P2p://ns2.hellotvvod.com:9906/238e8f5257e74ba0af4fd1c9f13b1468.ts
CinemaWorld,P2p://ns2.hellotvvod.com:9906/d98b4d3fc06c47a1a5b8fce1f15d4423.ts
CINEMAX,P2p://ns2.hellotvvod.com:9906/d3a60ef0ff3646b286b421b528b75a41.ts
CLASSICA古典樂,P2p://ns2.hellotvvod.com:9906/308680a1d8814388a0bd9197f7f77e7a.ts
CMusic,P2p://ns2.hellotvvod.com:9906/1a39d947774d4bb68d08934db13253e2.ts
CN卡通頻道,P2p://ns2.hellotvvod.com:9906/07009961cba04ec79ed8dd20ca7b360e.ts
Discovery,P2p://ns2.hellotvvod.com:9906/4c71eae98a6e4a909e632a0a6ab99b3d.ts
Discovery科學頻道,P2p://ns2.hellotvvod.com:9906/e41e1337049f49b69db0b1bcf638a66e.ts
DiscoveryAsia,P2p://ns2.hellotvvod.com:9906/b5a57aa4211d45d9af4a298c680fe0b6.ts
Disney,P2p://ns2.hellotvvod.com:9906/55aafd2acd4246e7aa9c538789742293.ts
DMAX,P2p://ns2.hellotvvod.com:9906/7bda270cda75438f921340aab9a58897.ts
DREAMWORKS,P2p://ns2.hellotvvod.com:9906/39a38457b5cb403c87bade9887fb3b04.ts
ELEVEN體育一台,P2p://ns2.hellotvvod.com:9906/cd9530b6c34749439e961cd52d2fef00.ts
ELEVEN體育二台,P2p://ns2.hellotvvod.com:9906/6c3ff3535d2b4c69bbcfe94e90df2730.ts
ELEVEN體育PLUS,P2p://ns2.hellotvvod.com:9906/90ca1fb937da4b079e2e7ffccc5e760c.ts
ELTV生活英語台,P2p://ns2.hellotvvod.com:9906/fc2f9a0a17c944538653535c31391482.ts
ESPN,P2p://ns2.hellotvvod.com:9906/59cd657efe5f4e27a497c9b2d969568a.ts
ETtoday綜合台,P2p://ns2.hellotvvod.com:9906/5e09cca699a342a1b03c6253d4a8f331.ts
Eurosport,P2p://ns2.hellotvvod.com:9906/7631066b0f114f06a667be37dea4a593.ts
EVE,P2p://ns2.hellotvvod.com:9906/8f9ece269a2c4db7a33688e7589f5812.ts
EYETV旅遊台,P2p://ns2.hellotvvod.com:9906/6e51f164a666426c943c67f8a91935cd.ts
EYETV戲劇台,P2p://ns2.hellotvvod.com:9906/d37e5f14233e4684b2ddb0d64a16f9b1.ts
FashionTV,P2p://ns2.hellotvvod.com:9906/1425348e0a9f4fe9abfb4931c76a58f7.ts
FightSports,P2p://ns2.hellotvvod.com:9906/aaa7523b50e94eb58927ed82705fb501.ts
FoodNetwork美食台,P2p://ns2.hellotvvod.com:9906/696ca7283f6042f19b0b302300e5d9ef.ts
FOX,P2p://ns2.hellotvvod.com:9906/9a27246a05f0460aace2b0ee34318714.ts
FoxNews,P2p://ns2.hellotvvod.com:9906/a38c7d4ad78f4f888628b30efc7ae213.ts
GolfChannel,P2p://ns2.hellotvvod.com:9906/e2e2c71623024d3db3f3bffe508fc529.ts
GolfChannelPhilippines,P2p://ns2.hellotvvod.com:9906/ce57658fde924bbeaf81eeaa979051c9.ts
HBO,P2p://ns2.hellotvvod.com:9906/94b11544b21e46efa1c31abd6f7c7d01.ts
HBOFamily,P2p://ns2.hellotvvod.com:9906/966b8b6180bf4cf985f4354d7785ef59.ts
HBOHits,P2p://ns2.hellotvvod.com:9906/041b53b8ec0c4ca1906af705429e25c7.ts
HBOSignature,P2p://ns2.hellotvvod.com:9906/4abbee6d3c1b4d549c4b2a7ad523f1f2.ts
HGTV居家樂活,P2p://ns2.hellotvvod.com:9906/f242fcf6e5844d9dacdc24348652192b.ts
HISTORY,P2p://ns2.hellotvvod.com:9906/57cf98706c784b31b8fe118bc5dda35c.ts
HITS,P2p://ns2.hellotvvod.com:9906/4ed417cb125047bc944c7baef1162752.ts
HITS,P2p://ns2.hellotvvod.com:9906/f020bdc4d52a43a281529ca8d2ebb497.ts
HorseRacing89,P2p://ns2.hellotvvod.com:9906/249f675c6841495cb0c53420e9cd86d8.ts
i-Fun動漫台,P2p://ns2.hellotvvod.com:9906/2913ab6ca66043d0ac86d1773026da48.ts
JSports1,P2p://ns2.hellotvvod.com:9906/ba4ac76a216b4a00bf86881f7d9cd53a.ts
JSports2,P2p://ns2.hellotvvod.com:9906/bcef4c2dbc4f4ac9991dea69ce729803.ts
JSports3,P2p://ns2.hellotvvod.com:9906/52a90481a69649fab9e3a8a44a0fd647.ts
JSports4,P2p://ns2.hellotvvod.com:9906/9cf19dcf7ae9431b9da917bd03047e5c.ts
JStar極限台,P2p://ns2.hellotvvod.com:9906/5a3618a3b5d0466fb70850317de5e907.ts
KIX,P2p://ns2.hellotvvod.com:9906/3ae28b94fcf2497e84083fec74e1b9bb.ts
Lifetime,P2p://ns2.hellotvvod.com:9906/48ea021864e343eb8d992ff7c19e4c49.ts
LoveNature,P2p://ns2.hellotvvod.com:9906/570e8fcd977c4314b9697c3a65449043.ts
MEZZOLIVEHD,P2p://ns2.hellotvvod.com:9906/2ea0a50d4fb54f6db1335e9cdad0287d.ts
MOMO親子台,P2p://ns2.hellotvvod.com:9906/77455ff016634bb69ec6f49e64d19930.ts
MTV,P2p://ns2.hellotvvod.com:9906/0fe81a19250145f89bd6ebde188c0047.ts
MTVLive,P2p://ns2.hellotvvod.com:9906/c436aba60d1442a9a4e73c6accaac6c2.ts
MusicJapanTV,P2p://ns2.hellotvvod.com:9906/337f5ef562e94bdabcb131ac25de5346.ts
NationTV,P2p://ns2.hellotvvod.com:9906/566d3bd07620411fa2ea6be8a438cf44.ts
NauraHD,P2p://ns2.hellotvvod.com:9906/b6ed608c5977441ea28696f84c2abc89.ts
Nickelodeon,P2p://ns2.hellotvvod.com:9906/357f877f3eb744dd993de7c5b6af8c63.ts
NickJr.,P2p://ns2.hellotvvod.com:9906/872b5479c6404eac85b3966cb897523b.ts
NickJr.,P2p://ns2.hellotvvod.com:9906/a663b9533c274e309a17c9926dbbe714.ts
OUTDOOR,P2p://ns2.hellotvvod.com:9906/16c810c52f0241da86d0a6af3c2902a6.ts
PremierSports,P2p://ns2.hellotvvod.com:9906/7703bc3f9fa74138833bb12ed94764ab.ts
RTMSport,P2p://ns2.hellotvvod.com:9906/21faa96fb7a44c0dba0e3eec264ca43c.ts
SHOWCASEMOVIES,P2p://ns2.hellotvvod.com:9906/920dc41abf614bf5a65d6e1edb15e896.ts
SkynetSports2,P2p://ns2.hellotvvod.com:9906/669876fd5fb348fc89e8cef051dca45a.ts
SkynetSports5,P2p://ns2.hellotvvod.com:9906/9de3de3d59c04cd7b57a919611cf9487.ts
SkynetSports6,P2p://ns2.hellotvvod.com:9906/96d159180f224a4e83a7726093cfe2d4.ts
SkynetSportsHD,P2p://ns2.hellotvvod.com:9906/67ad39b9fb734309af10ca2747982851.ts
SPOTV,P2p://ns2.hellotvvod.com:9906/0fde15a99ba24527960dcea05e56dadc.ts
SPOTV,P2p://ns2.hellotvvod.com:9906/f0a0fbcf51204409b7acd77c553e4ad1.ts
SPOTV2,P2p://ns2.hellotvvod.com:9906/50894f96ac7a40239383c1ec966c15fc.ts
StarMoviesHD,P2p://ns2.hellotvvod.com:9906/62d982bc92164500bb1adace0b014a48.ts
SunMusic,P2p://ns2.hellotvvod.com:9906/aa7f804d45594ab9a742e022db703a5a.ts
Thrill,P2p://ns2.hellotvvod.com:9906/fc0e5104ec3e4538ba37978d4980b662.ts
TLC旅遊生活頻道,P2p://ns2.hellotvvod.com:9906/df3c8d2c1a38422abb36710efd9acf66.ts
TRACESportStars,P2p://ns2.hellotvvod.com:9906/e720bd96cd044e1781116d8d426f59e3.ts
TravelChannel,P2p://ns2.hellotvvod.com:9906/e198a9c5efab4e39939bd535ffd1f59b.ts
TrueSport2,P2p://ns2.hellotvvod.com:9906/552e010dcd1340698a13f36cf6534f94.ts
TrueSport3,P2p://ns2.hellotvvod.com:9906/f7d2dd65944844749e538814715a94f4.ts
TrueSport4,P2p://ns2.hellotvvod.com:9906/7ece8614499d4b9989224db57cec34d8.ts
TrueSport5,P2p://ns2.hellotvvod.com:9906/795fe274eec5476b86137a70a3730d9e.ts
TrueSport7,P2p://ns2.hellotvvod.com:9906/83b22d1b4ada4d7d9bff27d24be00c91.ts
TVBS,P2p://ns2.hellotvvod.com:9906/d1bdb5f9c9254278b6d11b52ed1ff945.ts
TVBS亞洲,P2p://ns2.hellotvvod.com:9906/204f1a7dd0bd49f3bcdab6092528b84e.ts
TVBS新聞台,P2p://ns2.hellotvvod.com:9906/e0ceb76e8d45451c9d51d1fa9756cebf.ts
TVBS精采台,P2p://ns2.hellotvvod.com:9906/c254c362efcd4043bd76c63c9e066c2b.ts
TVBS歡樂台,P2p://ns2.hellotvvod.com:9906/521f6d66cd58414ab968ddc75d7dbc2d.ts
tvN,P2p://ns2.hellotvvod.com:9906/d861d8edb38d4235a9ae26851f2f4f29.ts
tvNMoviesHD,P2p://ns2.hellotvvod.com:9906/d5e30882d3e54bc59f0334727e42dd7b.ts
WAKUWAKUJAPAN,P2p://ns2.hellotvvod.com:9906/449e1202e734499db269d35a0e1d68e4.ts
WarnerTV,P2p://ns2.hellotvvod.com:9906/47a927d2deef452fb33a7f979951395f.ts
WWE,P2p://ns2.hellotvvod.com:9906/9b819d2a65ed47deb7e3e703cd788568.ts
Z頻道,P2p://ns2.hellotvvod.com:9906/52463fcc2bbc4c5999e0024dec3daa10.ts
